lemma,zipf
бути,6.07
робити,5.61
мати,5.45
знати,5.30
жити,5.27
працювати,5.23
говорити,5.18
читати,5.13
йти,5.11
брати,5.07
бачити,5.06
використовувати,5.04
писати,4.99
дивитися,4.93
чекати,4.91
вести,4.84
грати,4.84
шукати,4.84
їхати,4.83
думати,4.81
їсти,4.77
проводити,4.75
виконувати,4.74
спати,4.74
ходити,4.73
чути,4.73
пити,4.70
платити,4.69
захищати,4.68
приймати,4.68
тримати,4.68
сидіти,4.66
слухати,4.66
казати,4.65
вважати,4.64
займатися,4.64
боротися,4.63
діяти,4.63
розуміти,4.59
вірити,4.56
отримувати,4.56
керувати,4.55
купувати,4.55
будувати,4.54
називати,4.54
відповідати,4.53
розмовляти,4.53
воювати,4.52
підтримувати,4.52
створювати,4.52
продовжувати,4.51
давати,4.49
вирішувати,4.47
вбивати,4.46
виходити,4.46
стріляти,4.46
виглядати,4.45
починати,4.45
вчити,4.44
допомагати,4.44
контролювати,4.44
бити,4.43
змінювати,4.43
надавати,4.41
нести,4.41
їздити,4.41
іти,4.40
стояти,4.39
викликати,4.38
користуватися,4.37
палати,4.37
вимагати,4.36
носити,4.36
розглядати,4.36
відчувати,4.35
розповідати,4.35
ставити,4.35
здійснювати,4.34
вчитися,4.33
любити,4.33
пам'ятати,4.33
спілкуватися,4.32
готувати,4.31
показувати,4.31
продавати,4.30
спостерігати,4.30
виступати,4.29
знімати,4.29
збирати,4.28
залишатися,4.27
служити,4.27
довіряти,4.26
вивчати,4.25
очікувати,4.25
забувати,4.24
боятися,4.23
плакати,4.23
подавати,4.23
просити,4.23
застосовувати,4.22
звати,4.22
судити,4.22
втрачати,4.21
заробляти,4.21
існувати,4.21
зберігати,4.20
співати,4.20
витрачати,4.18
голосувати,4.18
пояснювати,4.18
залишати,4.17
впливати,4.16
віддавати,4.16
відкривати,4.16
почитати,4.15
обирати,4.14
радіти,4.14
терпіти,4.14
годувати,4.13
лікувати,4.12
утримувати,4.12
вибирати,4.11
літати,4.11
поважати,4.11
згадувати,4.10
кричати,4.10
обговорювати,4.10
перевіряти,4.10
реагувати,4.10
встановлювати,4.09
вживати,4.08
міняти,4.08
розслідувати,4.07
брехати,4.06
протистояти,4.06
сприяти,4.06
вводити,4.05
розвивати,4.05
розраховувати,4.05
сприймати,4.05
тікати,4.05
намагатися,4.04
реалізувати,4.04
рухатися,4.04
танцювати,4.04
порушувати,4.03
проходити,4.03
передавати,4.02
рости,4.02
красти,4.01
мовити,4.01
сподіватися,4.01
заходити,4.00
кидати,4.00
критикувати,4.00
плювати,4.00
рятувати,4.00
визнавати,3.99
дотримуватися,3.99
повертатися,3.99
складати,3.99
використовуватися,3.98
гарантувати,3.97
заважати,3.97
звертатися,3.97
малювати,3.97
палити,3.97
чинити,3.97
видавати,3.96
враховувати,3.96
дякувати,3.96
ліквідувати,3.96
питати,3.96
сплачувати,3.96
з'являтися,3.95
забезпечувати,3.95
ловити,3.95
переходити,3.95
битися,3.94
виробляти,3.94
забирати,3.94
обіймати,3.94
поводитися,3.94
святкувати,3.94
ставитися,3.94
стверджувати,3.94
вміти,3.93
дихати,3.93
доводити,3.93
здавати,3.93
рахувати,3.93
сходити,3.93
уникати,3.93
бігати,3.92
лежати,3.92
мовчати,3.92
повторювати,3.92
співпрацювати,3.92
тривати,3.92
володіти,3.91
звільняти,3.91
зустрічатися,3.91
визначати,3.90
випускати,3.90
подорожувати,3.90
призначати,3.90
розвиватися,3.90
розказувати,3.90
пишатися,3.89
представляти,3.89
приховувати,3.89
стежити,3.89
тиснути,3.89
блокувати,3.88
викладати,3.88
доглядати,3.88
повертати,3.88
сміятися,3.88
ставати,3.88
додавати,3.87
здаватися,3.87
торгувати,3.87
відправляти,3.86
готуватися,3.86
знаходити,3.86
реформувати,3.86
триматися,3.86
гуляти,3.85
молитися,3.85
навчати,3.85
навчатися,3.85
піднімати,3.85
бігти,3.84
відбуватися,3.84
коштувати,3.84
мріяти,3.84
порівнювати,3.84
поширювати,3.84
прибирати,3.83
приносити,3.83
вступати,3.82
коментувати,3.82
плавати,3.82
ризикувати,3.82
відвідувати,3.81
відпочивати,3.81
зростати,3.81
оцінювати,3.81
копати,3.80
перебувати,3.80
повідомляти,3.80
влаштовувати,3.79
містити,3.79
означати,3.79
срати,3.79
відстоювати,3.78
компенсувати,3.78
лізти,3.78
аналізувати,3.77
вказувати,3.77
закривати,3.77
сперечатися,3.77
тягнути,3.77
інвестувати,3.77
виховувати,3.76
карати,3.76
оплачувати,3.76
ініціювати,3.76
входити,3.75
записувати,3.75
мити,3.75
насрати,3.75
підходити,3.75
творити,3.75
вмирати,3.74
ділити,3.74
атакувати,3.73
включати,3.73
грабувати,3.73
знищувати,3.73
купляти,3.73
плутати,3.73
пробувати,3.73
публікувати,3.73
видаляти,3.72
вставати,3.72
досягати,3.72
займати,3.72
класти,3.72
ігнорувати,3.72
відновлювати,3.71
правити,3.71
пускати,3.71
слідкувати,3.71
формувати,3.71
виділяти,3.70
втручатися,3.70
економити,3.70
залежати,3.70
заперечувати,3.70
звинувачувати,3.70
везти,3.69
пасти,3.69
чіпати,3.69
гратися,3.68
обслуговувати,3.68
охороняти,3.68
перевищувати,3.68
переглядати,3.68
переживати,3.68
приходити,3.68
ремонтувати,3.68
вносити,3.67
домовлятися,3.67
нагадувати,3.67
підвищувати,3.67
стрибати,3.67
дарувати,3.66
дбати,3.66
ділитися,3.66
залучати,3.66
переслідувати,3.66
садити,3.66
управляти,3.66
ідентифікувати,3.66
демонструвати,3.65
дзвонити,3.65
друкувати,3.65
мислити,3.65
надсилати,3.65
падати,3.65
планувати,3.65
свідчити,3.65
становити,3.65
хотіти,3.65
гнати,3.64
допускати,3.64
курити,3.64
